basis,created_at,created_by_id,place_a_id,place_b_id,task_id,updated_at
imported,2024-05-31,2,14160909,14160909,NULL,2024-05-31
imported,2024-05-31,2,85101,14156111,NULL,2024-05-31
imported,2024-05-31,2,2486792,14154324,NULL,2024-05-31
imported,2024-05-31,2,13232838,7685576,NULL,2024-05-31
imported,2024-05-31,2,4795055,7225876,NULL,2024-05-31
imported,2024-05-31,2,4914369,7232754,NULL,2024-05-31
imported,2024-05-31,2,227554,5990410,NULL,2024-05-31
imported,2024-05-31,2,4797221,7690823,NULL,2024-05-31
imported,2024-05-31,2,4829577,84901,NULL,2024-05-31
imported,2024-05-31,2,4704144,7237046,NULL,2024-05-31
imported,2024-05-31,2,5302018,7227724,NULL,2024-05-31
imported,2024-05-31,2,4548063,6369487,NULL,2024-05-31
imported,2024-05-31,2,6209441,8073901,NULL,2024-05-31
imported,2024-05-31,2,6368230,6463924,NULL,2024-05-31
imported,2024-05-31,2,6130291,7250311,NULL,2024-05-31
imported,2024-05-31,2,4873507,7230882,NULL,2024-05-31
imported,2024-05-31,2,4741137,12427673,NULL,2024-05-31
imported,2024-05-31,2,5380319,7255972,NULL,2024-05-31
imported,2024-05-31,2,4870666,14157966,NULL,2024-05-31
imported,2024-05-31,2,2487626,12915426,NULL,2024-05-31
imported,2024-05-31,2,88858,14260327,NULL,2024-05-31
imported,2024-05-31,2,5883038,7239010,NULL,2024-05-31
imported,2024-05-31,2,87795,7691520,NULL,2024-05-31
imported,2024-05-31,2,5113446,83639,NULL,2024-05-31
imported,2024-05-31,2,227717,7685186,NULL,2024-05-31
imported,2024-05-31,2,5453394,8064537,NULL,2024-05-31
imported,2024-05-31,2,5014946,6371538,NULL,2024-05-31
imported,2024-05-31,2,5784253,7247988,NULL,2024-05-31
imported,2024-05-31,2,86139,6375538,NULL,2024-05-31
imported,2024-05-31,2,5908897,8107737,NULL,2024-05-31
imported,2024-05-31,2,5100914,6371228,NULL,2024-05-31
imported,2024-05-31,2,5284227,139409,NULL,2024-05-31
imported,2024-05-31,2,5218512,7241758,NULL,2024-05-31
imported,2024-05-31,2,85737,13765991,NULL,2024-05-31
imported,2024-05-31,2,5487360,13941181,NULL,2024-05-31
imported,2024-05-31,2,6143478,7244891,NULL,2024-05-31
imported,2024-05-31,2,2486629,83204,NULL,2024-05-31
imported,2024-05-31,2,6295077,6297213,NULL,2024-05-31
imported,2024-05-31,2,5357421,6373320,NULL,2024-05-31
imported,2024-05-31,2,13634974,6373913,NULL,2024-05-31
imported,2024-05-31,2,227620,14068292,NULL,2024-05-31
imported,2024-05-31,2,4470839,14156004,NULL,2024-05-31
imported,2024-05-31,2,82495,12399961,NULL,2024-05-31
imported,2024-05-31,2,13032540,7685501,NULL,2024-05-31
imported,2024-05-31,2,4873846,7691448,NULL,2024-05-31
imported,2024-05-31,2,13850729,14157549,NULL,2024-05-31
imported,2024-05-31,2,4818761,6370568,NULL,2024-05-31
imported,2024-05-31,2,4706789,7688780,NULL,2024-05-31
imported,2024-05-31,2,5096158,7691295,NULL,2024-05-31
imported,2024-05-31,2,4671694,7688071,NULL,2024-05-31
imported,2024-05-31,2,81819,7610066,NULL,2024-05-31
imported,2024-05-31,2,6113608,86163,NULL,2024-05-31
imported,2024-05-31,2,82698,14173543,NULL,2024-05-31
imported,2024-05-31,2,6368338,13818117,NULL,2024-05-31
imported,2024-05-31,2,5343004,6374370,NULL,2024-05-31
imported,2024-05-31,2,6368868,6373074,NULL,2024-05-31
imported,2024-05-31,2,6368982,7685953,NULL,2024-05-31
imported,2024-05-31,2,6170308,6469540,NULL,2024-05-31
imported,2024-05-31,2,170023,7610204,NULL,2024-05-31
imported,2024-05-31,2,140017,7690462,NULL,2024-05-31
imported,2024-05-31,2,2487320,7691002,NULL,2024-05-31
imported,2024-05-31,2,14161912,13923606,NULL,2024-05-31
imported,2024-05-31,2,5079481,83282,NULL,2024-05-31
imported,2024-05-31,2,5750343,6373591,NULL,2024-05-31
imported,2024-05-31,2,89648,87537,NULL,2024-05-31
imported,2024-05-31,2,5029162,89996,NULL,2024-05-31
imported,2024-05-31,2,4937528,6375165,NULL,2024-05-31
imported,2024-05-31,2,6369066,6373098,NULL,2024-05-31
imported,2024-05-31,2,7554960,6372303,NULL,2024-05-31
